2021-01-05T01:39:02-05:00	NervousPup	38329	5.342
2021-01-09T03:27:38-05:00	SuccessfulBarstool	24574	0.266
2021-01-24T06:20:31-05:00	DerangedStoryboard	15169	1.584
2021-01-25T18:09:23-05:00	FuzzyShower	30951	7.542
2021-02-04T00:54:11-05:00	SubstantialSynergy	13733	7.784
2021-02-11T06:04:05-05:00	AbashedGuerrilla	32724	9.373
2021-02-13T04:26:05-05:00	DerangedStoryboard	34772	5.4879999999999995
2021-02-13T18:54:15-05:00	LudicrousBlood	10350	5.154
2021-02-17T09:17:11-05:00	BraveShipyard	37730	6.329
2021-02-17T17:28:12-05:00	CrowdedBother	15408	9.618
2021-02-20T10:40:46-05:00	FuzzyShower	32689	4.085
2021-02-20T16:43:17-05:00	HeavyCourage	47805	0.664
2021-02-26T22:13:24-05:00	LudicrousBlood	15955	1.867
2021-03-20T19:55:57-04:00	SubstantialSynergy	21477	8.065
2021-04-02T17:08:18-04:00	ZealousGrab-Bag	34956	7.812
2021-04-11T16:30:25-04:00	BraveShipyard	45718	1.131
2021-04-15T18:38:57-04:00	X-RatedSnowboarding	40643	6.205
2021-04-22T04:20:08-04:00	ZealousGrab-Bag	16352	3.718
2021-04-26T13:19:28-04:00	SuccessfulBarstool	21989	5.913
2021-04-28T11:23:26-04:00	BraveShipyard	40995	9.269
2021-04-30T21:57:33-04:00	BraveShipyard	30626	0.781
2021-05-18T03:45:48-04:00	LudicrousBlood	36579	3.198
2021-06-03T15:10:40-04:00	AbashedGuerrilla	38865	8.064
2021-06-03T19:23:08-04:00	JoblessAzimuth	49439	9.484
2021-06-19T02:01:23-04:00	X-RatedSnowboarding	12201	6.875
2021-06-26T02:40:26-04:00	ZealousGrab-Bag	48601	4.6530000000000005
2021-06-28T06:10:52-04:00	SuccessfulBarstool	20211	3.17
2021-07-06T08:56:54-04:00	SubstantialSynergy	33949	1.74
2021-07-09T17:25:05-04:00	NervousPup	41855	2.491
2021-07-17T19:28:10-04:00	SuccessfulBarstool	34536	7.545
2021-07-31T16:36:00-04:00	NervousHiccups	27158	6.276
2021-08-13T08:01:14-04:00	FuzzyShower	42948	2.042
2021-08-15T11:07:49-04:00	SubstantialSynergy	30563	9.197
2021-08-19T01:34:43-04:00	AbashedGuerrilla	14650	5.813
2021-08-24T23:01:34-04:00	BraveShipyard	48048	6.759
2021-08-26T14:31:52-04:00	NervousHiccups	17728	6.43
2021-08-29T02:22:20-04:00	LudicrousBlood	23445	6.686
2021-09-29T05:43:27-04:00	CrowdedBother	20205	2.805
2021-09-29T09:24:29-04:00	NervousPup	19265	1.376
2021-10-08T08:03:08-04:00	SuccessfulBarstool	33059	8.416
2021-10-18T10:14:22-04:00	BraveShipyard	26368	9.428
2021-10-26T06:17:13-04:00	LudicrousBlood	48306	8.987
2021-11-04T00:44:48-04:00	X-RatedSnowboarding	44811	3.04
2021-11-05T23:42:08-04:00	HeavyCourage	39381	5.909
2021-11-06T00:54:31-04:00	HeavyCourage	34999	6.422
2021-11-17T03:53:32-05:00	ZealousGrab-Bag	46926	1.335
2021-11-23T10:30:44-05:00	JoblessAzimuth	19046	3.479
2021-12-12T13:30:35-05:00	FuzzyShower	39869	1.435
2021-12-13T08:35:58-05:00	SubstantialSynergy	44303	2.496
2021-12-28T17:14:54-05:00	BraveShipyard	34336	6.7
2022-01-02T14:19:04-05:00	X-RatedSnowboarding	31957	4.531
2022-01-12T02:55:51-05:00	AbashedGuerrilla	15961	3.7
2022-01-13T05:37:18-05:00	BraveShipyard	37136	9.582
2022-01-13T08:45:38-05:00	HeavyCourage	32908	1.8900000000000001
2022-02-09T05:02:29-05:00	SubstantialSynergy	16504	4.471
2022-03-01T10:24:31-05:00	AbashedGuerrilla	15319	9.395
2022-03-11T03:22:13-05:00	NervousPup	47344	3.585
2022-03-31T10:07:28-04:00	X-RatedSnowboarding	64187	2.88
2022-04-01T00:53:03-04:00	JoblessAzimuth	28967	9.053
2022-04-11T05:11:44-04:00	BraveShipyard	19242	7.449
2022-04-19T08:07:29-04:00	JoblessAzimuth	22925	9.847
2022-04-27T18:23:55-04:00	JoblessAzimuth	48023	1.794
2022-05-09T19:02:17-04:00	BraveShipyard	38304	9.876
2022-07-17T08:53:36-04:00	JoblessAzimuth	22990	2.115
